fecha,local,visitante,goles_local,goles_visita,torneo,ciudad,pais_x,neutral,difgol,gana_local,gana_visita,ranking_local,abrev_local,ranking_visitante,abrev_visitante,dif_ranking
1996-10-09,Costa Rica,Jamaica,0,0,Friendly,San José,Costa Rica,FALSE,0,0,0,46,"CRI
",48,JAM,-2
1997-05-11,Costa Rica,Jamaica,3,1,FIFA World Cup qualification,San José,Costa Rica,FALSE,2,1,0,46,"CRI
",48,JAM,-2
1999-02-24,Costa Rica,Jamaica,9,0,Friendly,San José,Costa Rica,FALSE,9,1,0,46,"CRI
",48,JAM,-2
2001-06-20,Costa Rica,Jamaica,2,1,FIFA World Cup qualification,Alajuela,Costa Rica,FALSE,1,1,0,46,"CRI
",48,JAM,-2
2013-03-26,Costa Rica,Jamaica,2,0,FIFA World Cup qualification,San José,Costa Rica,FALSE,2,1,0,46,"CRI
",48,JAM,-2
2015-07-08,Costa Rica,Jamaica,2,2,Gold Cup,Carson,United States,TRUE,0,0,0,46,"CRI
",48,JAM,-2
2016-03-29,Costa Rica,Jamaica,3,0,FIFA World Cup qualification,San José,Costa Rica,FALSE,3,1,0,46,"CRI
",48,JAM,-2
2019-03-26,Costa Rica,Jamaica,1,0,Friendly,San José,Costa Rica,FALSE,1,1,0,46,"CRI
",48,JAM,-2
1993-07-04,Jamaica,Costa Rica,1,1,Friendly,Kingston,Jamaica,FALSE,0,0,0,48,JAM,46,CRI,2
1995-09-27,Jamaica,Costa Rica,2,0,Friendly,Kingston,Jamaica,FALSE,2,1,0,48,JAM,46,CRI,2
1996-09-04,Jamaica,Costa Rica,2,0,Friendly,Kingston,Jamaica,FALSE,2,1,0,48,JAM,46,CRI,2
1997-09-14,Jamaica,Costa Rica,1,0,FIFA World Cup qualification,Kingston,Jamaica,FALSE,1,1,0,48,JAM,46,CRI,2
1999-02-10,Jamaica,Costa Rica,1,1,Friendly,Kingston,Jamaica,FALSE,0,0,0,48,JAM,46,CRI,2
2001-11-11,Jamaica,Costa Rica,0,1,FIFA World Cup qualification,Kingston,Jamaica,FALSE,-1,0,1,48,JAM,46,CRI,2
2008-02-06,Jamaica,Costa Rica,1,1,Friendly,Kingston,Jamaica,FALSE,0,0,0,48,JAM,46,CRI,2
2009-07-07,Jamaica,Costa Rica,0,1,Gold Cup,Columbus,United States,TRUE,-1,0,1,48,JAM,46,CRI,2
2010-09-05,Jamaica,Costa Rica,1,0,Friendly,Kingston,Jamaica,FALSE,1,1,0,48,JAM,46,CRI,2
2010-11-17,Jamaica,Costa Rica,0,0,Friendly,Fort Lauderdale,United States,TRUE,0,0,0,48,JAM,46,CRI,2
